[2026-03-25 06:50:51] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:50:51] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:50:51] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:50:51] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:50:52] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:50:52] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:50:52] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:50:52] Method: GET | Action: get_products | Origin: https://localhost
[2026-03-25 06:50:57] Method: GET | Action: get_active_promotions | Origin: https://localhost
[2026-03-25 06:51:05] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:05] Method: GET | Action: get_products | Origin: https://localhost
[2026-03-25 06:51:10] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:10] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:10] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:10] Method: GET | Action: get_active_promotions | Origin: https://localhost
[2026-03-25 06:51:11] Method: GET | Action: get_products | Origin: https://localhost
[2026-03-25 06:51:16] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:16] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:16] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:29] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:30] Method: GET | Action: get_admin_snapshot | Origin: 
[2026-03-25 06:51:37] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:37] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:51:37] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:38] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:44] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:47] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:48] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:51:59] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:52:02] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:52:03] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:52:14] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:52:21] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:52:22] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:52:30] Method: GET | Action: get_admin_snapshot | Origin: 
[2026-03-25 06:52:36] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:52:37] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:52:37] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:52:37] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:52:45] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:52:46] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:52:48] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:54:02] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:54:11] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:54:12] Method: GET | Action: get_products | Origin: 
[2026-03-25 06:54:17] Method: GET | Action: get_active_promotions | Origin: 
[2026-03-25 06:54:17] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:54:32] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:54:34] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:54:47] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:54:49] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:55:02] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:55:04] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:55:17] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:55:24] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:55:32] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:55:34] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:55:47] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:55:49] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:56:02] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:56:04] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:56:17] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:56:19] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:56:32] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:56:40] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:56:47] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:56:49] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:57:02] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:57:04] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:57:17] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:57:19] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:57:32] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:57:34] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:57:47] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:57:55] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:58:02] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:58:04] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:58:17] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:58:19] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:58:32] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:58:34] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:58:47] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:58:49] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:59:02] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:59:10] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:59:17] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:59:19] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:59:32] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:59:34] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 06:59:47] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 06:59:49] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:00:02] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:00:04] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:00:17] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:00:25] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:00:32] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:00:34] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:00:47] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:00:49] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:01:02] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:01:04] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:01:17] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:01:19] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:01:32] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:01:40] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:01:47] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:01:49] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:02:02] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:02:04] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:02:18] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:02:18] Method: GET | Action: get_active_promotions | Origin: https://localhost
[2026-03-25 07:02:18] Method: GET | Action: get_products | Origin: https://localhost
[2026-03-25 07:02:23] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:02:24] Method: GET | Action: get_customer | Origin: https://localhost
[2026-03-25 07:02:34] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:02:39] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:02:49] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:02:55] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:03:04] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:03:17] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:03:17] Method: GET | Action: get_active_promotions | Origin: 
[2026-03-25 07:03:17] Method: GET | Action: get_products | Origin: 
[2026-03-25 07:03:22] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:03:23] Method: GET | Action: get_customer | Origin: 
[2026-03-25 07:03:34] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:03:38] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:03:50] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:03:58] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:04:05] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:04:10] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:04:20] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:04:25] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:04:35] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:04:40] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:04:50] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:04:55] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:05:05] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:05:20] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:05:35] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:05:35] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:05:50] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:06:05] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:06:20] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:06:35] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:06:35] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:06:50] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:07:05] Method: GET | Action: get_store_settings | Origin: 
[2026-03-25 07:07:19] Method: GET | Action: get_store_settings | Origin: https://localhost
[2026-03-25 07:07:20] Method: GET | Action: get_store_settings | Origin: 
